ID,Predicted
000,0.9999721
001,0.99749666
002,0.99997914
003,6.0981865e-06
004,0.9999554
005,0.999931
006,5.8204005e-05
007,0.9995152
008,1.0
009,0.9999945
010,3.5134817e-05
011,0.99998486
012,5.501971e-07
013,0.9999777
014,0.99980277
015,0.020268368
016,1.632699e-05
017,0.9999999
018,0.00051373604
019,0.99993455
020,0.99992204
021,0.9997725
022,0.99999917
023,0.9999995
024,1.0
025,6.7358474e-07
026,0.00010738888
027,0.00036052492
028,3.4050997e-06
029,4.230046e-07
030,5.689571e-06
031,4.223431e-07
032,0.99882656
033,0.99782264
034,0.9999435
035,2.3551038e-06
036,0.99999917
037,0.9999999
038,1.4786883e-07
039,0.99923646
040,1.953794e-07
041,4.605092e-05
042,0.99999976
043,0.9999976
044,0.999997
045,3.2324183e-06
046,0.999798
047,0.99822706
048,0.9605487
049,0.9999622
050,0.99998534
051,0.99995387
052,7.459431e-08
053,0.9999869
054,0.00052086863
055,6.139094e-05
056,6.175741e-07
057,0.9999987
058,0.99945337
059,0.9999616
060,6.541508e-07
061,0.9999559
062,0.9999696
063,1.5746196e-05
064,0.99999416
065,0.99990475
066,0.98867655
067,0.99984014
068,0.00011754278
069,0.9999925
070,0.045474313
071,0.00036817152
072,0.99998116
073,0.9999964
074,0.9999654
075,0.9997826
076,0.99999905
077,0.0005810648
078,0.9999715
079,3.33641e-05
080,1.5713498e-07
081,0.00011547044
082,0.34961963
083,0.82736856
084,0.004885943
085,9.2788235e-07
086,0.33213946
087,0.9986644
088,0.99995005
089,0.0054408694
090,0.9999726
091,2.9221474e-05
092,4.916668e-06
093,6.9848275e-06
094,0.9987382
095,5.5761633e-05
096,0.999907
097,0.9999223
098,0.0042342264
099,0.99966383
100,2.233993e-06
101,2.348778e-07
102,0.99926955
103,1.1462687e-05
104,0.9999764
105,0.007667478
106,1.0760544e-06
107,0.9997249
108,2.391229e-06
109,0.00012350523
110,0.9810495
111,9.1503505e-05
112,0.99996364
113,1.1381126e-06
114,1.3347649e-08
115,5.357904e-06
116,0.9988668
117,0.00020902154
118,8.8016e-05
119,0.99987066
120,0.9999807
121,0.00047301088
122,0.9985324
123,1.0
124,0.9999957
125,8.071806e-06
126,1.2553394e-06
127,0.00020726738
128,0.00012630645
129,0.9997068
130,6.261695e-06
131,4.6624173e-05
132,1.0
133,0.9999682
134,1.0
135,1.8528765e-07
136,0.99997807
137,0.99999785
138,0.00016173445
139,0.00016749025
140,0.86317784
141,0.99999845
142,0.9948171
143,0.9999285
144,0.9999988
145,1.9072522e-05
146,8.7503584e-05
147,0.9999993
148,0.00013673028
149,0.0008707411
150,0.19597715
151,0.99999857
152,0.14768259
153,2.3286044e-05
154,2.570008e-05
155,0.99998343
156,0.9999629
157,1.3985962e-05
158,0.00011264432
159,0.99987745
160,7.18144e-07
161,1.4089855e-07
162,0.0003206182
163,1.546463e-05
164,5.1577454e-06
165,0.99995065
166,0.99999833
167,0.9999807
168,2.4443809e-05
169,0.99998844
170,0.9998115
171,0.99999297
172,0.99997497
173,4.0277682e-05
174,0.00027958464
175,0.9980393
176,0.0013128563
177,1.7842858e-05
178,0.99958605
179,1.5599615e-05
180,0.9999813
181,0.99990153
182,4.282802e-05
183,0.00011737645
184,0.00023488062
185,0.9999715
186,0.99974734
187,0.00010616562
188,1.8256555e-06
189,0.99999976
190,0.0013347231
191,7.0985298e-09
192,1.257313e-08
193,0.99997795
194,0.00011207903
195,3.8308625e-07
196,0.000709926
197,0.99999857
198,0.9999914
199,8.462758e-08
200,0.0055907806
201,0.00079454685
202,1.3322831e-05
203,0.0011369627
204,0.00050209067
205,0.5289124
206,0.99996865
207,0.00046466728
208,4.484307e-05
209,0.99967957
210,0.9999894
211,6.933242e-05
212,8.401113e-08
213,0.0009809401
214,3.2445203e-07
215,0.00014961611
216,7.201345e-05
217,0.99998987
218,0.00010724929
219,0.99973744
220,5.5003973e-05
221,6.447153e-10
222,1.5477983e-05
223,0.9999995
224,0.9999664
225,1.3258517e-07
226,0.9999813
227,0.99884295
228,0.99964046
229,2.3489265e-06
230,0.0002664268
231,0.9998778
232,0.9999924
233,4.557257e-06
234,2.9485338e-06
235,0.9999958
236,0.99994993
237,5.2450734e-08
238,0.10067391
239,0.00024619812
240,0.99994314
241,0.4413793
242,5.915792e-05
243,0.00037597978
244,0.99999464
245,0.06450388
246,0.99974555
247,0.000115417824
248,9.501814e-06
249,0.00029602484
250,0.00024021167
251,0.00028518168
252,0.99993825
253,0.0003271555
254,1.636932e-05
255,0.8965239
256,0.9999707
257,0.99996126
258,0.99991465
259,0.99999976
260,0.999936
261,1.0
262,0.99979407
263,1.2908916e-07
264,4.8827023e-06
265,0.00023194568
266,0.0025590567
267,0.0002665968
268,0.99997807
269,1.0328563e-05
270,0.9999975
271,0.0006760232
272,5.1603078e-05
273,0.0002734535
274,0.99992967
275,0.00026221358
276,9.116867e-07
277,0.0010491518
278,0.0015379363
279,5.3617063e-05
280,0.9999974
281,1.3473822e-05
282,3.5696805e-05
283,0.68023354
284,0.0009815262
285,0.9978504
286,0.98876303
287,0.9997663
288,0.9998338
289,0.00014444004
290,0.99996364
291,0.9999995
292,0.99987626
293,0.9999832
294,0.9998617
295,0.9999764
296,0.9960854
297,0.55603063
298,0.9999962
299,0.9999765
300,0.9999974
301,0.00016746213
302,0.046109684
303,1.2995783e-05
304,3.3987797e-06
305,1.0449206e-05
306,4.63293e-05
307,6.4950377e-06
308,0.9999999
309,0.99999726
310,0.99971515
311,7.28513e-06
312,0.00018433317
313,5.0314295e-05
314,0.0008387443
315,4.4131037e-05
316,5.445341e-06
317,0.9999732
318,0.9997496
319,0.99997866
320,0.99993074
321,0.99999964
322,9.338996e-07
323,0.00014219491
324,9.434618e-06
325,0.00019068694
326,0.99999166
327,0.9999964
328,0.9999782
329,0.9999542
330,7.3913805e-05
331,1.4336217e-07
332,0.9999999
333,6.56562e-07
334,0.0002677515
335,0.99988675
336,0.99974006
337,0.99999976
338,2.407039e-06
339,0.00053820846
340,2.708167e-07
341,0.9999999
342,0.8061779
343,8.1710554e-05
344,6.624353e-05
345,4.919731e-08
346,5.3769443e-05
347,0.00011145459
348,0.99990416
349,0.99993086
350,0.0011495868
351,0.9999739
352,4.5822453e-06
353,0.99999297
354,0.009964749
355,0.99999905
356,0.9999906
357,0.9999993
358,0.99895525
359,0.99985635
360,0.0009800125
361,0.72919613
362,0.99807775
363,2.590891e-05
364,0.9999999
365,0.9897683
366,2.1592823e-06
367,8.378905e-06
368,0.9956756
369,0.00014993387
370,0.9997919
371,6.897329e-05
372,0.9999963
373,0.96500266
374,0.9484661
375,6.0758557e-05
376,0.9998149
377,0.9999596
378,0.99584204
379,0.00020279043
380,0.00018459227
381,0.9954281
382,0.00022569699
383,0.99990344
384,0.99984205
385,5.2923347e-08
386,2.1875869e-05
387,3.1378782e-08
388,2.7081335e-06
389,4.7688854e-06
390,0.99969065
391,0.00030758412
392,2.5640105e-05
393,0.99998987
394,0.00038561135
395,4.532417e-06
396,0.9952165
397,0.99991536
398,0.99965084
399,0.9999987
